니케 스텟 (SSR등급 한정),,,,,,,,,,,,,,,,,,,,,,,,,,호감도,"요구
포인트",화력형,,,방어형,,,지원형,,,,하모니 큐브,,,,,,,,,,,,분류,"공격력
증가량","방어력
증가량","HP
증가량"
275,911175,40495,6074,5101,5230,5831,5925,5081,1113659,26997,7424,6235,6393,7127,7242,6210,1012417,33746,6749,5668,5812,6479,6584,5646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,915900,40705,6106,5127,5258,5862,5956,5108,1119434,27137,7462,6267,6426,7164,7280,6243,1017667,33921,6784,5697,5842,6513,6618,5675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,920625,40915,6137,5154,5285,5892,5987,5134,1125209,27277,7501,6299,6459,7201,7317,6275,1022917,34096,6819,5727,5872,6547,6652,5704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,925350,41125,6169,5180,5312,5922,6018,5160,1130984,27417,7539,6332,6492,7238,7355,6307,1028167,34271,6854,5756,5902,6580,6686,5734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,930075,41335,6200,5207,5339,5952,6048,5187,1136759,27557,7578,6364,6525,7275,7392,6339,1033417,34446,6889,5785,5932,6614,6720,5763,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,934800,41545,6232,5233,5366,5983,6079,5213,1142534,27697,7616,6396,6559,7312,7430,6371,1038667,34621,6924,5815,5962,6647,6755,5792,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,981540,43622,6543,5495,5634,6282,6383,5473,1199660,29082,7997,6716,6886,7677,7801,6690,1090600,36352,7270,6105,6260,6979,7092,6082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,986940,43862,6579,5525,5665,6316,6418,5504,1206260,29242,8041,6753,6924,7720,7844,6727,1096600,36552,7310,6139,6295,7018,7131,6115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,992340,44102,6615,5555,5696,6351,6453,5534,1212860,29402,8085,6790,6962,7762,7887,6763,1102600,36752,7350,6173,6329,7056,7170,6149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,997740,44342,6651,5586,5727,6385,6488,5564,1219460,29562,8129,6827,7000,7804,7930,6800,1108600,36952,7390,6206,6364,7095,7209,6182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1003140,44582,6687,5616,5758,6420,6523,5594,1226060,29722,8173,6864,7038,7846,7973,6837,1114600,37152,7430,6240,6398,7133,7248,6216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,1008540,44822,6723,5646,5789,6454,6558,5624,1232660,29882,8217,6901,7076,7889,8016,6874,1120600,37352,7470,6273,6433,7171,7287,6249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,1013940,45062,6759,5676,5820,6489,6594,5654,1239260,30042,8261,6938,7114,7931,8059,6911,1126600,37552,7510,6307,6467,7210,7326,6282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,1019340,45302,6795,5706,5851,6523,6629,5684,1245860,30202,8305,6975,7152,7973,8102,6947,1132600,37752,7550,6340,6501,7248,7365,6316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,1024740,45542,6831,5737,5882,6558,6664,5714,1252460,30362,8349,7011,7189,8015,8145,6984,1138600,37952,7590,6374,6536,7287,7404,6349,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,1030140,45782,6867,5767,5913,6593,6699,5745,1259060,30522,8393,7048,7227,8058,8188,7021,1144600,38152,7630,6408,6570,7325,7443,6383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,1035540,46022,6903,5797,5944,6627,6734,5775,1265660,30682,8437,7085,7265,8100,8231,7058,1150600,38352,7670,6441,6605,7364,7482,6416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,1040940,46262,6939,5827,5975,6662,6769,5805,1272260,30842,8481,7122,7303,8142,8273,7095,1156600,38552,7710,6475,6639,7402,7521,6450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,1046340,46502,6975,5858,6006,6696,6804,5835,1278860,31002,8525,7159,7341,8184,8316,7132,1162600,38752,7750,6508,6674,7440,7560,6483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,1051740,46742,7011,5888,6037,6731,6839,5865,1285460,31162,8569,7196,7379,8227,8359,7168,1168600,38952,7790,6542,6708,7479,7599,6517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,1057140,46982,7047,5918,6068,6765,6875,5895,1292060,31322,8613,7233,7417,8269,8402,7205,1174600,39152,7830,6576,6743,7517,7638,6550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,1062540,47222,7083,5948,6099,6800,6910,5925,1298660,31482,8657,7270,7455,8311,8445,7242,1180600,39352,7870,6609,6777,7556,7677,6584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,1067940,47462,7119,5979,6130,6835,6945,5955,1305260,31642,8701,7307,7493,8353,8488,7279,1186600,39552,7910,6643,6811,7594,7716,6617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,1073340,47702,7155,6009,6161,6869,6980,5985,1311860,31802,8745,7344,7530,8396,8531,7316,1192600,39752,7950,6676,6846,7632,7755,6651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
299,1078740,47942,7191,6039,6192,6904,7015,6016,1318460,31962,8789,7381,7568,8438,8574,7352,1198600,39952,7990,6710,6880,7671,7794,6684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1084140,48182,7227,6069,6223,6938,7050,6046,1325060,32122,8833,7418,7606,8480,8617,7389,1204600,40152,8030,6744,6915,7709,7833,6717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1138347,50592,7589,6373,6535,7286,7403,6348,1391313,33728,9275,7789,7987,8905,9048,7759,1264830,42160,8432,7081,7261,8095,8226,7054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,1143747,50832,7625,6403,6566,7320,7438,6378,1397913,33888,9319,7826,8025,8947,9091,7796,1270830,42360,8472,7115,7295,8133,8265,7087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,1149147,51072,7661,6434,6597,7355,7473,6409,1404513,34048,9363,7863,8063,8989,9134,7833,1276830,42560,8512,7148,7330,8172,8304,7121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,1154547,51312,7697,6464,6628,7389,7508,6439,1411113,34208,9407,7900,8101,9031,9177,7870,1282830,42760,8552,7182,7364,8210,8343,7154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,1159947,51552,7733,6494,6659,7424,7544,6469,1417713,34368,9451,7937,8139,9074,9220,7906,1288830,42960,8592,7216,7399,8249,8382,7188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,1165347,51792,7769,6524,6690,7458,7579,6499,1424313,34528,9495,7974,8176,9116,9263,7943,1294830,43160,8632,7249,7433,8287,8421,7221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,1170747,52032,7805,6554,6721,7493,7614,6529,1430913,34688,9539,8011,8214,9158,9306,7980,1300830,43360,8672,7283,7468,8325,8460,7254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,1176147,52272,7841,6585,6752,7527,7649,6559,1437513,34848,9583,8048,8252,9200,9349,8017,1306830,43560,8712,7316,7502,8364,8499,7288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,1181547,52512,7877,6615,6783,7562,7684,6589,1444113,35008,9627,8085,8290,9242,9392,8054,1312830,43760,8752,7350,7536,8402,8538,7321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,1186947,52752,7913,6645,6814,7597,7719,6619,1450713,35168,9671,8122,8328,9285,9434,8090,1318830,43960,8792,7384,7571,8441,8577,7355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,1192347,52992,7949,6675,6845,7631,7754,6649,1457313,35328,9715,8159,8366,9327,9477,8127,1324830,44160,8832,7417,7605,8479,8616,7388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,1197747,53232,7985,6706,6876,7666,7789,6680,1463913,35488,9759,8196,8404,9369,9520,8164,1330830,44360,8872,7451,7640,8517,8655,7422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,1203147,53472,8021,6736,6907,7700,7824,6710,1470513,35648,9803,8233,8442,9411,9563,8201,1336830,44560,8912,7484,7674,8556,8694,7455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,1208547,53712,8057,6766,6938,7735,7860,6740,1477113,35808,9847,8270,8480,9454,9606,8238,1342830,44760,8952,7518,7709,8594,8733,7489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,1213947,53952,8093,6796,6969,7769,7895,6770,1483713,35968,9891,8307,8517,9496,9649,8274,1348830,44960,8992,7551,7743,8633,8772,7522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,1219347,54192,8129,6827,7000,7804,7930,6800,1490313,36128,9935,8344,8555,9538,9692,8311,1354830,45160,9032,7585,7778,8671,8811,7556,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,1224747,54432,8165,6857,7031,7839,7965,6830,1496913,36288,9979,8381,8593,9580,9735,8348,1360830,45360,9072,7619,7812,8709,8850,7589,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,1230147,54672,8201,6887,7062,7873,8000,6860,1503513,36448,10023,8417,8631,9623,9778,8385,1366830,45560,9112,7652,7846,8748,8889,7623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,1235547,54912,8237,6917,7093,7908,8035,6890,1510113,36608,10067,8454,8669,9665,9821,8422,1372830,45760,9152,7686,7881,8786,8928,7656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,1240947,55152,8273,6947,7124,7942,8070,6921,1516713,36768,10111,8491,8707,9707,9864,8458,1378830,45960,9192,7719,7915,8825,8967,7689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,1302995,57910,8687,7295,7480,8340,8474,7267,1592549,38606,10617,8916,9143,10193,10357,8882,1447772,48258,9652,8106,8311,9266,9416,8074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,1309070,58180,8727,7329,7515,8379,8514,7301,1599974,38786,10667,8958,9185,10240,10406,8923,1454522,48483,9697,8144,8350,9310,9460,8112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,1315145,58450,8768,7363,7550,8417,8553,7335,1607399,38966,10716,8999,9228,10288,10454,8965,1461272,48708,9742,8181,8389,9353,9504,8150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,1321220,58720,8808,7397,7585,8456,8593,7369,1614824,39146,10766,9041,9270,10336,10502,9006,1468022,48933,9787,8219,8428,9396,9547,8187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,1327295,58990,8849,7431,7620,8495,8632,7402,1622249,39326,10815,9083,9313,10383,10550,9047,1474772,49158,9832,8257,8466,9439,9591,8225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,1333370,59260,8889,7465,7655,8534,8672,7436,1629674,39506,10865,9124,9356,10431,10599,9089,1481522,49383,9877,8295,8505,9482,9635,8263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,1339445,59530,8930,7499,7690,8573,8711,7470,1637099,39686,10914,9166,9398,10478,10647,9130,1488272,49608,9922,8332,8544,9526,9679,8300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,1345520,59800,8970,7533,7724,8612,8751,7504,1644524,39866,10964,9207,9441,10526,10695,9172,1495022,49833,9967,8370,8583,9569,9723,8338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,1351595,60070,9011,7567,7759,8651,8790,7538,1651949,40046,11013,9249,9484,10573,10744,9213,1501772,50058,10012,8408,8621,9612,9767,8375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,1357670,60340,9051,7601,7794,8690,8830,7572,1659374,40226,11063,9290,9526,10621,10792,9254,1508522,50283,10057,8446,8660,9655,9811,8413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,1363745,60610,9092,7635,7829,8728,8869,7606,1666799,40406,11112,9332,9569,10668,10840,9296,1515272,50508,10102,8484,8699,9698,9855,8451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,1369820,60880,9132,7669,7864,8767,8909,7640,1674224,40586,11162,9374,9611,10716,10889,9337,1522022,50733,10147,8521,8738,9742,9899,8488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,1375895,61150,9173,7703,7899,8806,8948,7673,1681649,40766,11211,9415,9654,10763,10937,9379,1528772,50958,10192,8559,8776,9785,9943,8526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,1381970,61420,9213,7737,7934,8845,8988,7707,1689074,40946,11261,9457,9697,10811,10985,9420,1535522,51183,10237,8597,8815,9828,9986,8564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,1388045,61690,9254,7771,7969,8884,9027,7741,1696499,41126,11310,9498,9739,10858,11033,9461,1542272,51408,10282,8635,8854,9871,10030,8601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,1394120,61960,9294,7805,8003,8923,9067,7775,1703924,41306,11360,9540,9782,10906,11082,9503,1549022,51633,10327,8673,8893,9914,10074,8639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,1400195,62230,9335,7839,8038,8962,9106,7809,1711349,41486,11409,9581,9825,10953,11130,9544,1555772,51858,10372,8710,8931,9958,10118,8677,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,1406270,62500,9375,7873,8073,9001,9146,7843,1718774,41666,11459,9623,9867,11001,11178,9586,1562522,52083,10417,8748,8970,10001,10162,8714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,1412345,62770,9416,7907,8108,9040,9185,7877,1726199,41846,11508,9665,9910,11048,11227,9627,1569272,52308,10462,8786,9009,10044,10206,8752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,1418420,63040,9456,7941,8143,9078,9225,7911,1733624,42026,11558,9706,9952,11096,11275,9668,1576022,52533,10507,8824,9048,10087,10250,8790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,1489341,66192,9929,8338,8550,9532,9686,8306,1820305,44128,12135,10191,10450,11650,11838,10152,1654823,55160,11032,9265,9500,10591,10762,9229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,1495416,66462,9969,8372,8585,9571,9725,8340,1827730,44308,12185,10233,10492,11698,11886,10193,1661573,55385,11077,9302,9539,10634,10806,9266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,1501491,66732,10010,8406,8620,9610,9765,8374,1835155,44488,12234,10274,10535,11745,11935,10234,1668323,55610,11122,9340,9577,10678,10850,9304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,1507566,67002,10050,8440,8654,9649,9804,8407,1842580,44668,12284,10316,10578,11793,11983,10276,1675073,55835,11167,9378,9616,10721,10894,9342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,1513641,67272,10091,8474,8689,9688,9844,8441,1850005,44848,12333,10357,10620,11840,12031,10317,1681823,56060,11212,9416,9655,10764,10938,9379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,1519716,67542,10131,8508,8724,9726,9883,8475,1857430,45028,12383,10399,10663,11888,12080,10359,1688573,56285,11257,9454,9694,10807,10981,9417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,1525791,67812,10172,8542,8759,9765,9923,8509,1864855,45208,12432,10441,10706,11935,12128,10400,1695323,56510,11302,9491,9732,10850,11025,9455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,1531866,68082,10212,8576,8794,9804,9962,8543,1872280,45388,12482,10482,10748,11983,12176,10441,1702073,56735,11347,9529,9771,10894,11069,9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,1537941,68352,10253,8610,8829,9843,10002,8577,1879705,45568,12531,10524,10791,12030,12224,10483,1708823,56960,11392,9567,9810,10937,11113,9530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,1544016,68622,10293,8644,8864,9882,10041,8611,1887130,45748,12581,10565,10833,12078,12273,10524,1715573,57185,11437,9605,9849,10980,11157,9568,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,1550091,68892,10334,8678,8899,9921,10081,8645,1894555,45928,12630,10607,10876,12125,12321,10566,1722323,57410,11482,9643,9887,11023,11201,9605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,1556166,69162,10374,8712,8933,9960,10120,8679,1901980,46108,12680,10648,10919,12173,12369,10607,1729073,57635,11527,9680,9926,11066,11245,9643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,1562241,69432,10415,8746,8968,9999,10160,8712,1909405,46288,12729,10690,10961,12221,12418,10648,1735823,57860,11572,9718,9965,11110,11289,9680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,1568316,69702,10455,8780,9003,10038,10199,8746,1916830,46468,12779,10732,11004,12268,12466,10690,1742573,58085,11617,9756,10004,11153,11333,9718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,1574391,69972,10496,8814,9038,10076,10239,8780,1924255,46648,12828,10773,11047,12316,12514,10731,1749323,58310,11662,9794,10042,11196,11377,9756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,1580466,70242,10536,8848,9073,10115,10278,8814,1931680,46828,12878,10815,11089,12363,12563,10773,1756073,58535,11707,9832,10081,11239,11420,9793,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
357,1586541,70512,10577,8882,9108,10154,10318,8848,1939105,47008,12927,10856,11132,12411,12611,10814,1762823,58760,11752,9869,10120,11282,11464,9831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,1592616,70782,10617,8916,9143,10193,10357,8882,1946530,47188,12977,10898,11174,12458,12659,10856,1769573,58985,11797,9907,10159,11326,11508,9869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,1598691,71052,10658,8950,9178,10232,10397,8916,1953955,47368,13026,10939,11217,12506,12707,10897,1776323,59210,11842,9945,10197,11369,11552,9906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360,1604766,71322,10698,8984,9212,10271,10436,8950,1961380,47548,13076,10981,11260,12553,12756,10938,1783073,59435,11887,9983,10236,11412,11596,9944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,1685004,74888,11233,9433,9673,10784,10958,9397,2059450,49926,13729,11530,11822,13180,13393,11485,1872227,62407,12481,10482,10748,11982,12176,10441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,1691754,75188,11278,9471,9712,10827,11002,9434,2067700,50126,13784,11576,11870,13233,13447,11531,1879727,62657,12531,10524,10791,12030,12224,10483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363,1698504,75488,11323,9509,9750,10870,11046,9472,2075950,50326,13839,11622,11917,13286,13500,11577,1887227,62907,12581,10566,10834,12078,12273,10525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
364,1705254,75788,11368,9547,9789,10914,11090,9510,2084200,50526,13894,11668,11964,13339,13554,11623,1894727,63157,12631,10608,10877,12126,12322,10566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,1712004,76088,11413,9585,9828,10957,11134,9547,2092450,50726,13949,11714,12012,13392,13608,11669,1902227,63407,12681,10649,10920,12174,12371,10608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,1718754,76388,11458,9622,9867,11000,11177,9585,2100700,50926,14004,11761,12059,13444,13661,11715,1909727,63657,12731,10691,10963,12222,12419,10650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,1725504,76688,11503,9660,9905,11043,11221,9623,2108950,51126,14059,11807,12106,13497,13715,11761,1917227,63907,12781,10733,11006,12270,12468,10692,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,1732254,76988,11548,9698,9944,11086,11265,9660,2117200,51326,14114,11853,12154,13550,13769,11807,1924727,64157,12831,10775,11049,12318,12517,10734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,1739004,77288,11593,9736,9983,11130,11309,9698,2125450,51526,14169,11899,12201,13603,13822,11853,1932227,64407,12881,10817,11092,12366,12566,10775,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,1745754,77588,11638,9774,10022,11173,11353,9736,2133700,51726,14224,11945,12249,13656,13876,11899,1939727,64657,12931,10859,11135,12414,12615,10817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
371,1752504,77888,11683,9811,10060,11216,11397,9773,2141950,51926,14279,11992,12296,13709,13930,11945,1947227,64907,12981,10901,11178,12462,12663,10859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
372,1759254,78188,11728,9849,10099,11259,11441,9811,2150200,52126,14334,12038,12343,13761,13983,11991,1954727,65157,13031,10943,11221,12510,12712,10901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,1766004,78488,11773,9887,10138,11302,11485,9849,2158450,52326,14389,12084,12391,13814,14037,12037,1962227,65407,13081,10985,11264,12558,12761,10943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,1772754,78788,11818,9925,10177,11346,11529,9886,2166700,52526,14444,12130,12438,13867,14091,12083,1969727,65657,13131,11027,11307,12606,12810,10985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,1779504,79088,11863,9962,10215,11389,11573,9924,2174950,52726,14499,12176,12485,13920,14144,12129,1977227,65907,13181,11069,11350,12654,12858,11026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,1786254,79388,11908,10000,10254,11432,11616,9961,2183200,52926,14554,12223,12533,13973,14198,12175,1984727,66157,13231,11111,11393,12702,12907,11068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,1793004,79688,11953,10038,10293,11475,11660,9999,2191450,53126,14609,12269,12580,14025,14252,12221,1992227,66407,13281,11153,11436,12750,12956,11110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,1799754,79988,11998,10076,10332,11518,11704,10037,2199700,53326,14664,12315,12627,14078,14305,12267,1999727,66657,13331,11195,11479,12798,13005,11152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
379,1806504,80288,12043,10114,10370,11562,11748,10074,2207950,53526,14719,12361,12675,14131,14359,12313,2007227,66907,13381,11237,11523,12846,13053,11194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,1813254,80588,12088,10151,10409,11605,11792,10112,2216200,53726,14774,12407,12722,14184,14412,12359,2014727,67157,13431,11279,11566,12894,13102,11236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381,1903917,84618,12693,10659,10930,12185,12382,10618,2327009,56412,15513,13028,13359,14893,15134,12978,2115463,70515,14103,11844,12144,13539,13758,11798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,1910667,84918,12738,10697,10969,12229,12426,10656,2335259,56612,15568,13074,13406,14946,15187,13024,2122963,70765,14153,11886,12187,13587,13807,11840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,1917417,85218,12783,10735,11007,12272,12470,10693,2343509,56812,15623,13120,13453,14999,15241,13070,2130463,71015,14203,11928,12230,13635,13855,11881,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,1924167,85518,12828,10773,11046,12315,12514,10731,2351759,57012,15678,13167,13501,15052,15295,13116,2137963,71265,14253,11970,12273,13683,13904,11923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,1930917,85818,12873,10810,11085,12358,12558,10769,2360009,57212,15733,13213,13548,15105,15348,13162,2145463,71515,14303,12012,12316,13731,13953,11965,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,1937667,86118,12918,10848,11124,12402,12602,10806,2368259,57412,15788,13259,13595,15157,15402,13208,2152963,71765,14353,12054,12360,13779,14002,12007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
387,1944417,86418,12963,10886,11162,12445,12645,10844,2376509,57612,15843,13305,13643,15210,15456,13254,2160463,72015,14403,12096,12403,13827,14050,12049,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
388,1951167,86718,13008,10924,11201,12488,12689,10881,2384759,57812,15898,13351,13690,15263,15509,13300,2167963,72265,14453,12138,12446,13875,14099,12091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
389,1957917,87018,13053,10962,11240,12531,12733,10919,2393009,58012,15953,13398,13738,15316,15563,13346,2175463,72515,14503,12180,12489,13923,14148,12132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
390,1964667,87318,13098,10999,11279,12574,12777,10957,2401259,58212,16008,13444,13785,15369,15616,13392,2182963,72765,14553,12222,12532,13971,14197,12174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
391,1971417,87618,13143,11037,11317,12618,12821,10994,2409509,58412,16063,13490,13832,15421,15670,13438,2190463,73015,14603,12264,12575,14019,14246,12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
392,1978167,87918,13188,11075,11356,12661,12865,11032,2417759,58612,16118,13536,13880,15474,15724,13484,2197963,73265,14653,12306,12618,14067,14294,12258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,1984917,88218,13233,11113,11395,12704,12909,11070,2426009,58812,16173,13582,13927,15527,15777,13530,2205463,73515,14703,12348,12661,14115,14343,12300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
394,1991667,88518,13278,11151,11434,12747,12953,11107,2434259,59012,16228,13629,13974,15580,15831,13576,2212963,73765,14753,12390,12704,14163,14392,12341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
395,1998417,88818,13323,11188,11472,12790,12997,11145,2442509,59212,16283,13675,14022,15633,15885,13622,2220463,74015,14803,12432,12747,14211,14441,12383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,2005167,89118,13368,11226,11511,12834,13041,11183,2450759,59412,16338,13721,14069,15685,15938,13668,2227963,74265,14853,12474,12790,14259,14489,12425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
397,2011917,89418,13413,11264,11550,12877,13084,11220,2459009,59612,16393,13767,14116,15738,15992,13714,2235463,74515,14903,12516,12833,14307,14538,12467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
398,2018667,89718,13458,11302,11589,12920,13128,11258,2467259,59812,16448,13813,14164,15791,16046,13760,2242963,74765,14953,12558,12876,14355,14587,12509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
399,2025417,90018,13503,11340,11627,12963,13172,11296,2475509,60012,16503,13859,14211,15844,16099,13806,2250463,75015,15003,12600,12919,14403,14636,12551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
400,2032167,90318,13548,11377,11666,13006,13216,11333,2483759,60212,16558,13906,14259,15897,16153,13852,2257963,75265,15053,12641,12962,14451,14685,12592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
401,2133775,94834,14225,11946,12250,13657,13877,11900,2607947,63222,17387,14601,14972,16692,16961,14545,2370861,79028,15806,13274,13611,15174,15419,13222,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
402,2141200,95164,14275,11988,12292,13704,13926,11942,2617022,63442,17447,14652,15024,16750,17020,14595,2379111,79303,15861,13320,13658,15227,15473,13268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
403,2148625,95494,14324,12030,12335,13752,13974,11983,2626097,63662,17508,14703,15076,16808,17079,14646,2387361,79578,15916,13366,13705,15280,15526,13314,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
404,2156050,95824,14374,12071,12378,13800,14022,12024,2635172,63882,17568,14754,15128,16866,17138,14696,2395611,79853,15971,13412,13753,15333,15580,13360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
405,2163475,96154,14423,12113,12420,13847,14070,12066,2644247,64102,17629,14804,15180,16924,17197,14747,2403861,80128,16026,13459,13800,15386,15634,13406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
